code,date,hour,visibility,cloudcover,windspeed,humidity,precipitation
SFO,2021-01-01,4,10,40,14,77,0.0
SFO,2021-01-01,5,10,45,12,77,0.0
SFO,2021-01-01,6,10,50,10,76,0.0
SFO,2021-01-01,7,10,48,9,73,0.0
SFO,2021-01-01,8,9,46,9,69,0.1
SFO,2021-01-01,9,9,45,8,66,0.1
SFO,2021-01-01,10,9,47,10,66,0.1
SFO,2021-01-01,11,10,49,12,67,0.0
SFO,2021-01-01,12,10,51,14,67,0.0
SFO,2021-01-01,13,10,43,11,67,0.0
SFO,2021-01-01,14,9,36,8,68,0.1
SFO,2021-01-01,15,9,28,5,69,0.1
SFO,2021-01-01,16,9,29,7,70,0.1
SFO,2021-01-01,17,10,30,8,71,0.0
SFO,2021-01-01,18,10,31,10,72,0.0
SFO,2021-01-01,19,10,29,11,74,0.0
SFO,2021-01-02,4,10,24,8,76,0.0
SFO,2021-01-02,5,10,20,8,75,0.0
SFO,2021-01-02,6,10,16,8,75,0.0
SFO,2021-01-02,7,10,16,8,72,0.0
SFO,2021-01-02,8,10,16,8,69,0.0
SFO,2021-01-02,9,10,15,8,66,0.0
SFO,2021-01-02,10,10,16,10,67,0.0
SFO,2021-01-02,11,10,16,11,68,0.0
SFO,2021-01-02,12,10,16,13,69,0.0
SFO,2021-01-02,13,10,16,11,69,0.0
SFO,2021-01-02,14,9,16,8,69,0.2
SFO,2021-01-02,15,9,16,6,69,0.3
SFO,2021-01-02,16,9,17,7,70,0.1
SFO,2021-01-02,17,10,19,8,71,0.0
SFO,2021-01-02,18,10,21,9,72,0.0
SFO,2021-01-02,19,10,22,10,73,0.0
SFO,2021-01-03,4,9,23,3,75,0.2
SFO,2021-01-03,5,10,24,3,75,0.0
SFO,2021-01-03,6,10,25,3,75,0.0
SFO,2021-01-03,7,10,22,3,72,0.0
SFO,2021-01-03,8,9,18,4,70,0.1
SFO,2021-01-03,9,9,15,5,67,0.1
SFO,2021-01-03,10,9,14,6,67,0.0
SFO,2021-01-03,11,10,12,6,67,0.0
SFO,2021-01-03,12,10,10,7,66,0.0
SFO,2021-01-03,13,10,10,8,66,0.0
SFO,2021-01-03,14,10,10,9,66,0.1
SFO,2021-01-03,15,10,10,10,66,0.1
SFO,2021-01-03,16,10,16,12,69,0.1
SFO,2021-01-03,17,10,22,13,71,0.0
SFO,2021-01-03,18,10,29,15,74,0.0
SFO,2021-01-03,19,10,25,14,75,0.0
SFO,2021-01-04,4,8,24,5,77,0.6
SFO,2021-01-04,5,9,23,4,77,0.0
SFO,2021-01-04,6,10,22,4,78,0.0
SFO,2021-01-04,7,10,21,4,74,0.0
SFO,2021-01-04,8,9,19,5,71,0.2
SFO,2021-01-04,9,9,18,5,67,0.2
SFO,2021-01-04,10,9,17,6,67,0.1
SFO,2021-01-04,11,10,15,6,66,0.0
SFO,2021-01-04,12,10,14,7,65,0.0
SFO,2021-01-04,13,10,12,6,66,0.0
SFO,2021-01-04,14,10,10,6,66,0.0
SFO,2021-01-04,15,10,8,6,66,0.0
SFO,2021-01-04,16,10,8,8,68,0.0
SFO,2021-01-04,17,10,8,10,70,0.0
SFO,2021-01-04,18,10,8,13,72,0.0
SFO,2021-01-04,19,10,11,14,74,0.0
SFO,2021-01-05,4,9,22,2,77,0.2
SFO,2021-01-05,5,10,23,2,77,0.0
SFO,2021-01-05,6,10,24,2,78,0.0
SFO,2021-01-05,7,10,22,2,74,0.0
SFO,2021-01-05,8,10,20,3,70,0.0
SFO,2021-01-05,9,10,18,4,67,0.0
SFO,2021-01-05,10,10,14,6,66,0.0
SFO,2021-01-05,11,10,11,8,65,0.0
SFO,2021-01-05,12,10,8,10,64,0.0
SFO,2021-01-05,13,10,9,9,64,0.0
SFO,2021-01-05,14,10,10,7,65,0.2
SFO,2021-01-05,15,10,11,6,66,0.2
SFO,2021-01-05,16,10,12,8,68,0.1
SFO,2021-01-05,17,10,13,9,70,0.0
SFO,2021-01-05,18,10,15,11,72,0.0
SFO,2021-01-05,19,10,18,12,72,0.0
SFO,2021-01-06,4,10,13,9,74,0.0
SFO,2021-01-06,5,10,23,9,74,0.0
SFO,2021-01-06,6,10,33,9,74,0.0
SFO,2021-01-06,7,10,30,9,72,0.0
SFO,2021-01-06,8,10,28,9,70,0.0
SFO,2021-01-06,9,10,26,9,68,0.0
SFO,2021-01-06,10,10,18,9,67,0.0
SFO,2021-01-06,11,10,11,9,66,0.0
SFO,2021-01-06,12,10,3,9,64,0.0
SFO,2021-01-06,13,10,6,8,66,0.0
SFO,2021-01-06,14,10,9,6,67,0.0
SFO,2021-01-06,15,10,11,5,68,0.0
SFO,2021-01-06,16,10,12,7,68,0.0
SFO,2021-01-06,17,10,14,10,69,0.0
SFO,2021-01-06,18,10,15,12,69,0.0
