op_carrier_airline_id,op_unique_carrier,op_carrier_name
20363,9E,Endeavor Air
19805,AA,American Airlines
19930,AS,Alaska Airlines
20409,B6,Jet Blue
19790,DL,Delta Air Lines
20366,EV,Atlantic Southeast Airlines
20436,F9,Frontier Airlines
20368,G4,Allegiant Air
19690,HA,Hawaiian Airlines
20398,MQ,Envoy Air
20416,NK,Spirit Airlines
20397,OH,Comair
20304,OO,SkyWest Airlines  
19977,UA,United Airlines
19393,WN,Southwest Airlines
20378,YV,Mesa Airlines
20452,YX,Midwest Airlines
